"Date","Day_of_month","Nweek","Month","Num_offices","Num_employees","shift1_trans","shift2_trans","shift1_em","shift2_em","shift_all_em","Max_check","Min_check","Mean_check","Trans_amount","Trans_sum","Trans_mean","Class1","Class2","Class3","Class1.1","Class2.1","Class3.1"
"2013-04-19",19,15,4,1,2,4,4,0,0,2,2,1,1.125,8,900,112.5,0.875,0.125,0,"7","1","0"
"2013-04-20",20,15,4,1,1,1,2,0,0,1,3,1,2.33333333333333,3,700,233.333333333333,0.333333333333333,0.666666666666667,0,"1","2","0"
"2013-04-21",21,15,4,1,1,2,5,0,0,1,1,1,1,7,700,100,1,0,0,"7","0","0"
"2013-04-22",22,16,4,1,2,5,4,0,0,2,3,1,1.44444444444444,9,1300,144.444444444444,0.666666666666667,0.333333333333333,0,"6","3","0"
"2013-04-23",23,16,4,1,2,5,6,0,0,2,1,1,1,11,1100,100,1,0,0,"11","0","0"
"2013-04-24",24,16,4,1,2,5,6,0,0,2,2,1,1.09090909090909,11,1200,109.090909090909,0.909090909090909,0.0909090909090909,0,"10","1","0"
"2013-04-25",25,16,4,1,2,7,4,0,0,2,2,1,1.09090909090909,11,1200,109.090909090909,0.909090909090909,0.0909090909090909,0,"10","1","0"
"2013-04-26",26,16,4,1,2,2,4,0,0,2,3,1,2,6,1200,200,0.166666666666667,0.833333333333333,0,"1","5","0"
"2013-04-27",27,16,4,1,1,1,3,0,0,1,3,1,2,4,800,200,0.25,0.75,0,"1","3","0"
"2013-04-28",28,16,4,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-04-29",29,17,4,1,2,3,6,0,0,2,2,1,1.11111111111111,9,1000,111.111111111111,0.888888888888889,0.111111111111111,0,"8","1","0"
"2013-04-30",30,17,4,1,2,1,3,0,1,1,2,1,1.25,4,500,125,0.75,0.25,0,"3","1","0"
"2013-05-01",1,17,5,1,1,1,2,0,0,1,1,1,1,3,300,100,1,0,0,"3","0","0"
"2013-05-02",2,17,5,1,2,2,6,0,0,2,1,1,1,8,800,100,1,0,0,"8","0","0"
"2013-05-03",3,17,5,1,2,4,2,0,0,2,3,1,1.33333333333333,6,800,133.333333333333,0.833333333333333,0.166666666666667,0,"5","1","0"
"2013-05-04",4,17,5,1,1,1,2,0,0,1,1,1,1,3,300,100,1,0,0,"3","0","0"
"2013-05-05",5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-05-06",6,18,5,1,2,6,6,0,0,2,4,1,1.33333333333333,12,1600,133.333333333333,0.909090909090909,0.0909090909090909,0,"10","1","0"
"2013-05-07",7,18,5,1,2,8,6,0,0,2,2,1,1.07142857142857,14,1500,107.142857142857,0.928571428571429,0.0714285714285714,0,"13","1","0"
"2013-05-08",8,18,5,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-05-09",9,18,5,1,2,2,5,0,0,2,1,1,1,7,700,100,1,0,0,"7","0","0"
"2013-05-10",10,18,5,1,2,3,4,0,0,2,1,1,1,7,700,100,1,0,0,"7","0","0"
"2013-05-11",11,18,5,1,1,3,2,0,0,1,2,1,1.2,5,600,120,0.8,0.2,0,"4","1","0"
"2013-05-12",12,18,5,1,1,1,0,1,0,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-05-13",13,19,5,1,2,5,9,0,0,2,2,1,1.21428571428571,14,1700,121.428571428571,0.785714285714286,0.214285714285714,0,"11","3","0"
"2013-05-14",14,19,5,1,2,3,4,0,0,2,2,1,1.14285714285714,7,800,114.285714285714,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-05-15",15,19,5,1,2,9,8,0,0,2,2,1,1.05882352941176,17,1800,105.882352941176,0.941176470588235,0.0588235294117647,0,"16","1","0"
"2013-05-16",16,19,5,1,2,3,5,0,0,2,5,1,1.5,8,1600,200,0.875,0,0.125,"7","0","1"
"2013-05-17",17,19,5,1,2,3,0,2,0,0,2,1,1.33333333333333,3,400,133.333333333333,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-05-18",18,19,5,1,1,0,3,0,1,0,2,1,1.33333333333333,3,400,133.333333333333,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-05-19",19,19,5,1,1,0,2,0,1,0,1,1,1,2,200,100,1,0,0,"2","0","0"
"2013-05-20",20,20,5,1,2,3,4,0,0,2,3,1,1.28571428571429,7,1000,142.857142857143,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-05-21",21,20,5,1,2,5,8,0,0,2,2,1,1.15384615384615,13,1500,115.384615384615,0.846153846153846,0.153846153846154,0,"11","2","0"
"2013-05-22",22,20,5,1,2,6,7,0,0,2,2,1,1.07692307692308,13,1500,115.384615384615,0.923076923076923,0.0769230769230769,0,"12","1","0"
"2013-05-23",23,20,5,1,2,6,5,0,0,2,2,1,1.18181818181818,11,1300,118.181818181818,0.818181818181818,0.181818181818182,0,"9","2","0"
"2013-05-24",24,20,5,1,2,1,5,0,1,1,3,1,1.5,6,900,150,0.666666666666667,0.333333333333333,0,"4","2","0"
"2013-05-25",25,20,5,1,1,1,1,0,0,1,1,1,1,2,200,100,1,0,0,"2","0","0"
"2013-05-26",26,20,5,1,1,0,3,0,1,0,5,1,2.33333333333333,3,900,300,0.666666666666667,0,0.333333333333333,"2","0","1"
"2013-05-27",27,21,5,1,2,5,6,0,0,2,2,1,1.18181818181818,11,1300,118.181818181818,0.818181818181818,0.181818181818182,0,"9","2","0"
"2013-05-28",28,21,5,1,2,5,5,0,0,2,3,1,1.3,10,1400,140,0.8,0.2,0,"8","2","0"
"2013-05-29",29,21,5,1,2,2,5,0,0,2,3,1,1.42857142857143,7,1000,142.857142857143,0.714285714285714,0.285714285714286,0,"5","2","0"
"2013-05-30",30,21,5,1,2,2,8,0,1,1,2,1,1.1,10,1100,110,0.9,0.1,0,"9","1","0"
"2013-05-31",31,21,5,1,2,6,2,0,0,2,2,1,1.25,8,1000,125,0.75,0.25,0,"6","2","0"
"2013-06-01",1,21,6,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-06-02",2,21,6,1,1,1,2,0,0,1,3,1,1.66666666666667,3,500,166.666666666667,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-06-03",3,22,6,1,1,2,0,1,0,0,1,1,1,2,200,100,1,0,0,"2","0","0"
"2013-06-04",4,22,6,1,1,5,5,0,0,1,3,1,1.3,10,1300,130,0.8,0.2,0,"8","2","0"
